tv_show,episode,rating,year,total_votes,desc,genre,encoded_title,genre1,genre2,genre3
The Expanse,Home,9.5,2017,4986,The asteroid Eros takes direct collision course towards Earth. The Rocinante chases it. As last defense Earth launches missiles against Eros. Miller went inside Eros and makes a surprising discovery.,"Drama, Mystery, Sci-Fi",tt3230854,Drama,Mystery,Sci-Fi
How to Get Away with Murder,Who's Dead?,9.5,2016,2778,Annalise and Nate argue after a tip about Renee Atwood is exposed; the person under the sheet is revealed.,"Crime, Drama, Mystery",tt3205802,Crime,Drama,Mystery
The Office,Niagara: Part 2,9.5,2009,5495,"Pam is forced to deal with an embarrassing injury for Andy the night before her wedding, while Kevin deals with the loss of his dress shoes on the morning of the ceremony.",Comedy,tt0386676,Comedy,,
Bates Motel,Forever,9.5,2016,2278,Norma and Norman attempt to reconnect as they plan for the future; Dylan and Romero decide to take action for Norman's own good.,"Drama, Horror, Mystery",tt2188671,Drama,Horror,Mystery
The Leftovers,The Book of Nora,9.5,2017,6927,"Nora wishes to step into Dr. Eden and Dr. Bekker's machine. But, what are the consequences?","Drama, Fantasy, Mystery",tt2699128,Drama,Fantasy,Mystery
The Leftovers,The Most Powerful Man in the World (and His Identical Twin Brother),9.5,2017,5460,"On a mission of mercy, Kevin assumes an alternate identity.","Drama, Fantasy, Mystery",tt2699128,Drama,Fantasy,Mystery
One Piece,Gear Fourth! Kyoui no Bounce Man!,9.5,2016,1564,Luffy casts off his sandals and activates Gear Fourth. His body changes with a ballooned torso covered with tribal like markings and coated with Busoshoku Haki.,"Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
One Piece,Haki Gekitotsu: Luffy tai Doflamingo,9.5,2015,1296,"Doflamingo uses his powers to heal himself and attack Law. Luffy stops Doflamingo, and the two clash using Haoshoku Haki. During the battle, Trebol remembers how he found a young Doflamingo and gave him the power to kill anyone he wanted.","Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
Code Black,Black Tag,9.5,2015,1136,"The doctors find their own lives in danger when they arrive at the scene of a massive multi-vehicle accident on a highway covered in thick fog. Also, Jesse's confidence is shaken following ...                See full summary »",Drama,tt4452630,Drama,,
Big Little Lies,You Get What You Need,9.5,2017,7511,Celeste makes a bold move; Madeline deals with fallout from her past; Jane learns who's really been hurting Amabella.,"Crime, Drama, Mystery",tt3920596,Crime,Drama,Mystery
Orange Is the New Black,Toast Can't Never Be Bread Again,9.5,2016,4052,Corporate bureaucracy and simmering anger work against Caputo's efforts to keep a sensitive situation under control.,"Comedy, Crime, Drama",tt2372162,Comedy,Crime,Drama
One Piece,Kuuchuu Kessen: Zoro Shin Hissastsu Ougi Sakuretsu!,9.5,2015,1355,"Pica reaches and attacks the King's Plateau, but Roronoa Zoro slashes apart his stone body and cuts him down with Sanzen Sekai.","Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
Code Black,Cardiac Support,9.5,2015,1120,"Leanne is rattled at the thought of losing Jesse as he fights for his life after suffering a massive heart attack. Also, Mario asks the residents to cover for him when he searches the city ...                See full summary »",Drama,tt4452630,Drama,,
Code Black,The Son Rises,9.5,2015,1177,"When the lead actor (Alton Fitzgerald White) of the musical ""The Lion King"" tour arrives at Angels Memorial with a throat infection, Leanne gives him a diagnosis that puts both his career ...                See full summary »",Drama,tt4452630,Drama,,
Gravity Falls,Weirdmageddon: Part 1,9.5,2015,2512,Bill has returned to take down the Pines family. But this time he has brought some of his friends with him.,"Animation, Action, Adventure",tt1865718,Animation,Action,Adventure
House of Cards,Chapter 52,9.5,2016,6083,"As the hostage situation continues, Claire secretly negotiates with an extremist leader. Frank confronts Hammerschmidt.",Drama,tt1856010,Drama,,
Supernatural,Baby,9.5,2015,6459,Sam and Dean's road trip to fight monsters and demons is chronicled entirely from the Impala's perspective.,"Drama, Fantasy, Horror",tt0460681,Drama,Fantasy,Horror
Daredevil,Seven Minutes in Heaven,9.5,2016,8735,"Castle gets an offer he can't refuse. Foggy and Murdock question the future of their firm, but Karen won't give up so easily.","Action, Crime, Drama",tt3322312,Action,Crime,Drama
Daredevil,Penny and Dime,9.5,2016,9911,"Karen uncovers shocking facts about the Punisher, who finds himself hunted by a powerful force in Hell's Kitchen. Daredevil ponders his next moves.","Action, Crime, Drama",tt3322312,Action,Crime,Drama
Daredevil,New York's Finest,9.5,2016,10407,"Trapped face-to-face with the Punisher, Daredevil wrestles with the morality of vigilante justice. Meanwhile, Foggy and Karen work to save the firm.","Action, Crime, Drama",tt3322312,Action,Crime,Drama
One Piece,Yuke Law: Yasashiki Otoko Saigo no Tatakai!,9.5,2015,1470,"After recalling how he killed his father and met his executives as a child, Donquixote Doflamingo confronts his brother, Rosinante.","Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
Teen Wolf,Radio Silence,9.5,2016,1616,"Trapped inside the Wild Hunt, Stiles reunites with an unexpected ally while Scott, Lydia and Malia discover Stiles's Jeep may be connected to his disappearance.","Action, Drama, Fantasy",tt1567432,Action,Drama,Fantasy
One Piece,Kunan no Michi: Law to Corazon Inochi no Tabi,9.5,2015,1026,"Corazon talks to Law about the name ""D."" and states that they are considered troublesome by most. He also tells Law about his ulterior motives without exposing his relation to the marines.","Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
One Piece,Ikari Bakuhatsu: Luffy Law Saikyou no Hisaku,9.5,2015,1121,The battle between Robin's group and the nutcracker army comes to a stop as the toys revert into their human selves due to Sugar being knocked unconscious again. Luffy and Law begin their fight with Doflamingo.,"Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
Mr. Robot,eps1.7_wh1ter0se.m4v,9.5,2015,12491,Allsafe is hacked and Elliot is meeting White Rose. Tyrell is interrogated by the police and Elliot remembers who he really is.,"Crime, Drama, Thriller",tt4158110,Crime,Drama,Thriller
JoJo's Bizarre Adventure,"The Miasma of the Void, Vanilla Ice, Part 2",9.5,2015,1088,"Vanilla Ice, now powered up by Dio, uses his Cream to disintegrate Avdol. Iggy and Polnareff desperately try to fight back, but he remains too powerful for the duo to take down.","Animation, Action, Adventure",tt2359704,Animation,Action,Adventure
Person of Interest,"6,741",9.5,2016,4823,"Shaw escapes her captors, but the team is unsure of her mental state when she begins to act paranoid and reckless.","Action, Crime, Drama",tt1839578,Action,Crime,Drama
Steven Universe,Sworn to the Sword,9.5,2015,1600,Pearl teaches Connie how to sword fight on Steven's request but it doesn't go quite as planned.,"Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
Westworld,Trompe L'Oeil,9.5,2016,19872,"Dolores, William and Lawrence journey into treacherous terrain; Maeve presents her demand; Bernard considers his next move.","Drama, Mystery, Sci-Fi",tt0475784,Drama,Mystery,Sci-Fi
Steven Universe,The Return,9.5,2015,1626,A new threat arrives in Beach City.,"Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
It's Always Sunny in Philadelphia,Hero or Hate Crime?,9.5,2017,3677,The gang go to a professional arbitrator to decide who's the rightful owner of a scratch-off lottery ticket.,Comedy,tt0472954,Comedy,,
It's Always Sunny in Philadelphia,The Gang Goes to a Water Park,9.5,2017,4187,"The gang takes a trip to a local waterpark, ripe with personal agendas and ulterior motives. Dennis feeds off his mantra of ""the park provides"" and takes on a protégé. Frank and Charlie are...                See full summary »",Comedy,tt0472954,Comedy,,
Longmire,High Noon,9.5,2015,1177,Cady gets a new job offer while Vic worries Walt wants her to lie for him. Nighthorse continues his egotistical posturing and Barlow implodes with his own malice.,"Action, Crime, Drama",tt1836037,Action,Crime,Drama
Modern Family,Connection Lost,9.5,2015,6762,Claire is stuck at an airport and trying to digitally track down Haley after an argument.,"Comedy, Drama, Romance",tt1442437,Comedy,Drama,Romance
It's Always Sunny in Philadelphia,Mac & Dennis Move to the Suburbs,9.5,2016,3935,Dennis and Mac head to the suburbs for cheap rent and open spaces but quickly find out that they are meant for city life.,Comedy,tt0472954,Comedy,,
Steven Universe,Lion 3: Straight to Video,9.5,2014,1686,Lion won't stop laying on Steven's face while he sleeps.,"Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
Regular Show,The Real Thomas,9.5,2014,2098,"After Rigby finds out something unusual about Thomas in the night, he decides to explain his friends about the incident. Meanwhile things starts to turn dangerous when they find out the mysterious truth of Thomas.","Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
Forever,The Last Death of Henry Morgan,9.5,2015,1820,Jo is all that stands in the way of Henry's and Adam's impending clash.,"Crime, Drama, Fantasy",tt3487382,Crime,Drama,Fantasy
Over the Garden Wall,Chapter 10: The Unknown,9.5,2014,1856,The Beast has come. The final chapter begins.,"Animation, Adventure, Comedy",tt3718778,Animation,Adventure,Comedy
Steven Universe,Ocean Gem,9.5,2014,1637,Lapis Lazuli has gone crazy and stolen the ocean. Steven and his friends have to convince Lapis to give the ocean back.,"Animation, Action, Adventure",tt3061046,Animation,Action,Adventure
Banshee,We All Pay Eventually,9.5,2015,2452,"Hood joins forces with Gordon to save his friends from Stowe. Meanwhile, Proctor heads to Philadelphia to settle the score with Frazier, as Bunker is set on his personal revenge against his brother.","Action, Crime, Drama",tt2017109,Action,Crime,Drama
One Piece,Luffy Kyougaku: Ace no Ishi o Tsugu Otoko,9.5,2014,1290,"Bartolomeo saves Bellamy from Dellinger who is called to guard the Toy House. Thunder Soldiers explains ""Operation SOP"". As Luffy looks for the Colosseum's exit, he is approached by Sabo.","Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
Fargo,The Castle,9.5,2015,8718,"In an attempt to stop the Kansas City mob, the police decide to use Ed and Peggy as bait. Hanzee betrays the Gerhardts and takes revenge.","Crime, Drama, Thriller",tt2802850,Crime,Drama,Thriller
Fargo,Loplop,9.5,2015,8679,"Ed and Peggy hold Dodd hostage in a secluded cabin and try to strike up a deal with the Gerhardts, while Hanzee attempts to hunt them down.","Crime, Drama, Thriller",tt2802850,Crime,Drama,Thriller
Les Synaudes,La Minute Synaudique,9.5,2010,1685,Add a Plot,"Animation, Short, Horror",tt3921820,Animation,Short,Horror
Les Synaudes,Le Silence Synaudique,9.5,2010,1660,Add a Plot,"Animation, Short, Horror",tt3921820,Animation,Short,Horror
Suits,This Is Rome,9.5,2014,3501,"After Louis resigns from Pearson Specter, Harvey, Mike and Donna try to help him get back on his feet, but Jessica's refusal to budge on his contract could hurt all of them in the long run.","Comedy, Drama",tt1632701,Comedy,Drama,
Sons of Anarchy,Suits of Woe,9.5,2014,3553,"As the whole of the Sons of Anarchy organization bears down on the outlaw motorcycle club's California-based Redwood Original chapter, President Jackson ""Jax"" Teller comes face to face with an extremely unpleasant reality.","Crime, Drama, Thriller",tt1124373,Crime,Drama,Thriller
Community,Emotional Consequences of Broadcast Television,9.5,2015,5482,"As their sixth year at Greendale draws to a close, Abed asks everyone to imagine pitching a TV show about what they would do in season seven.",Comedy,tt1439629,Comedy,,
Better Call Saul,Pimento,9.5,2015,12379,Chuck wants to transfer the Sandpiper case to HHM much to Jimmy's dismay. Mike gets a job offer working as a bodyguard.,"Crime, Drama",tt3032476,Crime,Drama,
Game of Thrones,The Dance of Dragons,9.5,2015,42587,Jon and the wildlings return to Castle Black. Jaime meets with Doran Martell. Stannis makes a hard choice. Arya runs into Meryn Trant. Daenerys attends the grand reopening of the fighting pits.,"Action, Adventure, Drama",tt0944947,Action,Adventure,Drama
Better Call Saul,Five-O,9.5,2015,15884,Mike's days as a police officer in Philadelphia catch up to him when he's questioned about a tragic event from his past.,"Crime, Drama",tt3032476,Crime,Drama,
Supernatural,Fan Fiction,9.5,2014,8183,Sam and Dean investigate a haunting at a theatre.,"Drama, Fantasy, Horror",tt0460681,Drama,Fantasy,Horror
Banshee,Tribal,9.5,2015,2646,"Cadi becomes a war zone when Chayton and the Red Bones attack the station with Hood, Brock, Proctor, Siobhan and the others trapped inside.","Action, Crime, Drama",tt2017109,Action,Crime,Drama
Louie,In the Woods: Part 2,9.5,2014,1235,"Young Louie's drug problem begins to escalate, and he must eventually face the consequences of his actions.","Comedy, Drama",tt1492966,Comedy,Drama,
Mad Men,Waterloo,9.5,2014,3099,"Don and Peggy prepare to pitch to Burger Chef, one day after the Apollo Moon Landing. Meanwhile, a power struggle in the firm between Sterling and Cutler leaves Don's future hanging in the balance.",Drama,tt0804503,Drama,,
Revenge,Execution,9.5,2014,1387,Emily and Victoria pull out all stops as they work to destroy each other.,"Drama, Mystery, Thriller",tt1837642,Drama,Mystery,Thriller
Shameless,Lazarus,9.5,2014,3817,"Sheila fights for custody of the Native American kids and clashes with Sammi. Fiona gets sprung from jail and lands a job with the help of her parole officer. And Frank begins to feel like his old, troubled self.","Comedy, Drama",tt1586680,Comedy,Drama,
Hunter x Hunter,Charge × and × Invade,9.5,2014,1562,Netero along with Zeno launches attack on king's castle to separate him from royal guards.,"Animation, Action, Adventure",tt2098220,Animation,Action,Adventure
Cosmos: A Spacetime Odyssey,Unafraid of the Dark,9.5,2014,1661,Description of the two Voyager probes sent for interstellar travel. Tyson ends the series by emphasizing Sagan's message on the human condition in the vastness of the cosmos & to encourage ...                See full summary »,Documentary,tt2395695,Documentary,,
How I Met Your Mother,How Your Mother Met Me,9.5,2014,9628,"The story of The Mother, from her traumatic 21st birthday to a number of close calls with meeting Ted to the night before Barney and Robin's wedding.","Comedy, Romance",tt0460649,Comedy,Romance,
Arrow,Unthinkable,9.5,2014,7463,"As Oliver's face off with Slade escalates, his resolve to the no-kill rule is tested. Especially as Slade targets the woman Oliver loves.","Action, Adventure, Crime",tt2193021,Action,Adventure,Crime
House of Cards,Chapter 26,9.5,2014,6664,Francis is about to be destroyed while the nation is in turmoil. Stamper must pick up loose ends. Claire marks the conclusion of her ruthlessness.,Drama,tt1856010,Drama,,
Sons of Anarchy,A Mother's Work,9.5,2013,4353,"Jax has to handle some unhappy customers as the weapon deal goes through Mike's organization. Meanwhile, Tara finds a way to avoid jail without giving up the MC.","Crime, Drama, Thriller",tt1124373,Crime,Drama,Thriller
Attack on Titan,"Wall: Raid on Stohess District, Part 3",9.5,2013,12601,"A final battle between Eren and The Female Titan breaks out in the Stonhess District, and Eren's rage reaches new heights.","Animation, Action, Adventure",tt2560140,Animation,Action,Adventure
Psych,The Break-Up,9.5,2014,1659,"Shawn and Gus help Detective Lassiter enlist the help of Henry and Woody to solve the murder of a real estate executive. Meanwhile, Shawn struggles with a life decision.","Comedy, Crime, Mystery",tt0491738,Comedy,Crime,Mystery
The Office,A.A.R.M.,9.5,2013,6283,"Dwight prepares for a marriage proposal and hires an assistant for his assistant, Andy auditions for a singing program, Darryl tries to leave his job without a fuss, and Pam has second thoughts about Jim staying in Scranton.",Comedy,tt0386676,Comedy,,
Person of Interest,Prisoner's Dilemma,9.5,2013,3592,"Finch and Carter are trying to get Reese out of Riker's, where he is still being kept prisoner by Donnelly. Meanwhile, Fusco is working alone on the next number.","Action, Crime, Drama",tt1839578,Action,Crime,Drama
Community,Digital Estate Planning,9.5,2012,5385,"The study group must help Pierce win a video game so that he can claim his inheritance from his father, but somebody may be out to ensure that he loses.",Comedy,tt1439629,Comedy,,
Castle,Always,9.5,2012,2582,"The murder of a Latino army veteran ex-con, ex-Lobos-street gang member quickly links to a break-in in the late captain's home, to steal only and all his old police files, and yields the ...                See full summary »","Comedy, Crime, Drama",tt1219024,Comedy,Crime,Drama
Breaking Bad,Blood Money,9.5,2013,26211,Walt is out of the meth business and trying to move on with his life. Jesse tries to get rid of his money. Hank now knows that Walt is the famous Heisenberg.,"Crime, Drama, Thriller",tt0903747,Crime,Drama,Thriller
Regular Show,Video Game Wizard,9.5,2012,2016,"Mordecai and Skips decide to work together to win the grand prize in a video game tournament. When Rigby finds out Mordecai chose Skips instead of him, his feelings are hurt.","Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
Boardwalk Empire,Two Imposters,9.5,2012,2588,"After Owen's dead body is delivered in a crate and Margaret leaves him, Nucky spends the next day with a seriously wounded Eddie and Gyp's thugs trying to kill him.","Crime, Drama, History",tt0979432,Crime,Drama,History
Community,Basic Lupine Urology,9.5,2012,5197,"When the yam the study group was growing for biology class is killed, Troy and Abed are on the case.",Comedy,tt1439629,Comedy,,
Dexter,Are You...?,9.5,2012,8732,"Season 7 premiere. After witnessing her brother kill, Debra (Jennifer Carpenter) attempts to reconcile with Dexter (Michael C. Hall) while struggling to cover up their involvement with the murder.","Crime, Drama, Mystery",tt0773262,Crime,Drama,Mystery
Regular Show,Rap It Up,9.5,2011,2107,"When a skilled rap group know as ""CrewCrew"" insult Pops and his poems, Mordecai and Rigby join with him when he challenges them to a rap battle.","Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
Young Justice,Misplaced,9.5,2012,2017,"When Earth's 5 most powerful sorcerers make all the adults on the planet disappear, it's up to the Team, Zatanna, and Billy Batson to stop them.","Animation, Action, Adventure",tt1641384,Animation,Action,Adventure
Young Justice,Homefront,9.5,2011,2027,"When the cave is attacked, can Artemis and Robin - the two teens without super-powers - save the Team (or even themselves) from the unknown invaders?","Animation, Action, Adventure",tt1641384,Animation,Action,Adventure
Futurama,Meanwhile,9.5,2013,3575,"Professor Farnsworth invents a button that can take a person 10 seconds back in time, inadvertently causing major consequences.","Animation, Adventure, Comedy",tt0149460,Animation,Adventure,Comedy
Regular Show,Karaoke Video,9.5,2011,2096,"Mordecai and Rigby have to destroy a promotional video tape of them at a Karaoke Club singing and making fun of everyone at the park, when the gang decides to go there.","Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
The Vampire Diaries,The Departed,9.5,2012,3556,"Determined to protect his sister, Jeremy makes a decision that will change everything; Bonnie makes a secret deal that has heartbreaking consequences.","Drama, Fantasy, Horror",tt1405406,Drama,Fantasy,Horror
Sherlock,A Scandal in Belgravia,9.5,2012,38477,Sherlock must confiscate something of importance from a mysterious woman named Irene Adler.,"Crime, Drama, Mystery",tt1475582,Crime,Drama,Mystery
The Mentalist,Strawberries and Cream: Part 2,9.5,2011,2782,"Patrick trades Hightower's secret location to Laroche for the four remaining names on his list. The team then sets up a trap to uncover Red John's real informant, leading to a possible face-to-face showdown between Patrick and Red John.","Crime, Drama, Mystery",tt1196946,Crime,Drama,Mystery
One Piece,Shanks Kenzan! Choujou Sensou Tsui ni Shuuketsu,9.5,2011,1357,Law and his crew take Jinbe and Luffy inside their submarine.,"Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
Game of Thrones,Fire and Blood,9.5,2011,37456,Robb vows to get revenge on the Lannisters. Jon must officially decide if his place is with Robb or the Night's Watch. Daenerys says her final goodbye to Drogo.,"Action, Adventure, Drama",tt0944947,Action,Adventure,Drama
One Piece,Hisshi no Sakebi: Unmei o Kaeru Yuuki Aru Suubyou,9.5,2011,1421,"The fight in Marineford still rages on, as Trafalgar Law arrives to rescue Luffy.","Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
One Piece,Show no Kaimaku: Akasareta Kurohige no Takurami,9.5,2011,1143,The news of Whitebeard's death is already spreading all over the world. Silvers Rayleigh also hears the news.,"Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
One Piece,Kejime o Tsukeru: Shirohige vs Kurohige Kaizokudan,9.5,2011,2307,"Blackbeard and his pirates arrive in Marineford, as they are taken down from the execution platform by Whitebeard.","Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
One Piece,Kaigun Honbu Houkai! Shirohige Kotobanaki Ikari!,9.5,2011,1746,"Luffy's has a breakdown due to the emotional trauma of Ace's death, causing Jinbe to take him away.","Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
Community,Advanced Dungeons & Dragons,9.5,2011,6232,"The study group plays Dungeons & Dragons with another classmate to improve his spirits, but Pierce's jealousies cause their good intentions to backfire.",Comedy,tt1439629,Comedy,,
One Piece,Kotae o Sagashite: Hiken Ace Senjou ni Shisu,9.5,2011,2763,An eerie silence falls over the battlefield as Luffy and Ace share a heartbreaking final moment together.,"Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
One Piece,Hi o mo Yaki Tsukusu Chikara: Akainu Hijou no Tsuigeki,9.5,2011,1984,Whitebeard aims to take down the whole of Marineford and orders his crew and the other pirates to flee.,"Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
One Piece,Ace Kyuushutsu! Shirohige Saigo no Senchou Meirei!,9.5,2010,1372,Ace is freed at last as he and Luffy fight their way back to escape from Marineford.,"Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
One Piece,Sorezore no Eranda Michi: Luffy vs Garp!,9.5,2010,1174,"Luffy unwillingly hits Garp, who is blocking his way to Ace. As Garp falls, the bridge crumbles.","Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
Regular Show,High Score,9.5,2011,2160,"Mordecai and Rigby try to earn respect by increasing their skills on ""Broken Bones"", an arcade game in the Coffee Shop.","Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
Regular Show,Mordecai and the Rigbys,9.5,2010,2388,"When Mordecai and Rigby make a fake band, they accidentally enter for a live performance, even though they haven't a clue how to play any instruments.","Animation, Action, Adventure",tt1710308,Animation,Action,Adventure
One Piece,Shinde mo Tasukeru: Luffy vs Kaigun Battle Start,9.5,2010,1081,"With Luffy as their inspiration, the other pirates fight back with renewed vigor.","Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
One Piece,Mugiwara Team Touchaku Fuunkyuu o Tsugeru Senjou,9.5,2010,1135,Luffy finally shows up together with his formed alliance from the escaped prisoners of Impel Down.,"Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
Breaking Bad,End Times,9.5,2011,22526,"The DEA is putting Hank and his family in protective custody; however, Walt refuses and awaits his fate in his house. Meanwhile, Brock has fallen terribly ill and Jesse suspects Walt may be behind it.","Crime, Drama, Thriller",tt0903747,Crime,Drama,Thriller
Fullmetal Alchemist: Brotherhood,Seizetsunaru hangeki,9.5,2010,1923,"A truly epic battle erupts when Edward, Mustang, Hawkeye, Greed, Izumi, and Armstrong attack the god-like Father. The odds are against the forces of good - until one brave boy makes a shocking sacrifice.","Animation, Action, Adventure",tt1355642,Animation,Action,Adventure
Chuck,Chuck Versus the Ring: Part II,9.5,2010,1499,"Casey goes undercover to protect his daughter from The Ring, Big Mike receives some shocking news regarding the Buy More, and Chuck's father becomes the team's only chance of survival against The Ring.","Action, Comedy, Drama",tt0934814,Action,Comedy,Drama
Smallville,Homecoming,9.5,2010,1589,"Still gravely pondering his place in life, Clark lets Lois drag him along to their Smallvillle high school reunion. Rather than enjoying his hero status, while Lois shines less than she ...                See full summary »","Adventure, Drama, Romance",tt0279600,Adventure,Drama,Romance
Breaking Bad,Half Measures,9.5,2010,23533,"Against Walt's advice, Jesse lashes out. Fearing for Jesse's safety, Walt takes drastic action to intervene. Meanwhile a tragic event leads to a shocking confrontation.","Crime, Drama, Thriller",tt0903747,Crime,Drama,Thriller
Chuck,Chuck Versus the Other Guy,9.5,2010,1762,"Morgan considers quitting the Buy More. Chuck, Sarah, and Shaw go after the Ring operative who killed Shaw's wife.","Action, Comedy, Drama",tt0934814,Action,Comedy,Drama
Demon Slayer: Kimetsu no Yaiba,Akaza,9.5,2021,1619,Tanjiro has finally slashed Enmu's neck with the help of Inosuke. The tremors from the train flipped it over the rails. As silence deepens a mysterious figure approaches from behind.,"Animation, Action, Adventure",tt9335498,Animation,Action,Adventure
Psych,Mr. Yin Presents,9.5,2010,1491,"A year after the arrest of Mr. Yang, a new killer starts playing games with Shawn and his friends - her partner, Mr. Yin.","Comedy, Crime, Mystery",tt0491738,Comedy,Crime,Mystery
Fringe,Peter,9.5,2010,3349,"Walter flashes back to 1985 while explaining Peter's otherworldly origins to Olivia. Also, Peter's mother is introduced, and details of the neighboring world reaffirms that there is more than one of everything.","Drama, Mystery, Sci-Fi",tt1119644,Drama,Mystery,Sci-Fi
Rick and Morty,Rickmurai Jack,9.5,2021,8769,"Rick is living his best anime life. Meanwhile in the Citadel of Ricks, a long game played by one particular Morty is reaching its conclusion.","Animation, Adventure, Comedy",tt2861424,Animation,Adventure,Comedy
Tokyo Revengers,Turn Around,9.5,2021,1042,The battle between Toman and Valhalla has reached its peak when the heads of both teams eliminated most of the weak members. Hanma gets intimidated by Draken's power and waits to take him on impatiently.,"Animation, Action, Crime",tt13196080,Animation,Action,Crime
Fullmetal Alchemist: Brotherhood,Death of the Undying,9.5,2009,2499,"Mustang, Alphonse, Havoc, and Hawkeye split up to search a military laboratory. If Lust has her way, none of them will ever see each other again.","Animation, Action, Adventure",tt1355642,Animation,Action,Adventure
Young Royals,Episode #1.6,9.5,2021,1441,Wilhelm feels conflicted about how to handle the aftermath of the leaked video while Simon fends off the press. Felice makes a discovery.,"Drama, Romance",tt14664414,Drama,Romance,
Broken But Beautiful,The Fault in Their Stars,9.5,2021,4744,"Rumi kisses Agastya, but Agastya does not respond in kind. Sakshi isn't pleased with Agastya not telling her about his moment with Rumi and decides to call off their relationship. Rumi is excited to hear the news about their break-up.","Drama, Romance",tt8317568,Drama,Romance,
Broken But Beautiful,This Could Be Us,9.5,2021,4747,"Rumi wants to tie the knot with Ishan, but Ishan isn't ready yet. She leaves Ishan for Agastya. Agastya plans on proposing Rumi and sets everything up for the evening. But there will always be a catch.","Drama, Romance",tt8317568,Drama,Romance,
Broken But Beautiful,"Crazy, Stupid, Foolish Love.",9.5,2021,4758,"Maira call off her relationship with Ishan for Rumi's sake. Agastya transforms himself into the likeness of Ishan to meet Rumi's tastes, but Rumi blows him away.","Drama, Romance",tt8317568,Drama,Romance,
Broken But Beautiful,La La La land,9.5,2021,4798,Rumi is happy as Agastya praised her during the rehearsals. She arrives at Ishan's place to celebrate but is heartbroken to find Maira there. Agastya beats some sense and self-respect into her.,"Drama, Romance",tt8317568,Drama,Romance,
Broken But Beautiful,"You, Me, Him and Her",9.5,2021,4870,Rumi is given the responsibility to manage Maira's Homecoming party. Rumi is jealous as Ishan is more attentive towards Maira and decides to grab everyone's attention with a surprise announcement.,"Drama, Romance",tt8317568,Drama,Romance,
One Piece,Kesareta Nakama-tachi: Mugiwara Ichimi Saigo no Hi,9.5,2009,1976,Sentomaru reveals that Kuma has the ability to make people fly through the sky to far away places.,"Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
Aspirants,Plan B Kya Hai?,9.5,2021,6284,"Abhilash realizes that no matter how determined he is, it's really tough to crack UPSC and he can't be overly optimistic with his dream of becoming an IAS officer. He realizes that he needs a Plan B.",Drama,tt14392248,Drama,,
Dexter,"Hello, Dexter Morgan",9.5,2009,6131,"Dexter must buy time to protect himself when Debra's investigation brings the department one step away from identifying Arthur as the Trinity Killer; Rita confides in Dexter, but is disappointed in the result.","Crime, Drama, Mystery",tt0773262,Crime,Drama,Mystery
One Piece,Taishou Kizuru no Moukou Mugiwara Ichimi Zettaizetsumei!,9.5,2009,1216,Usopp and Brook's attempt to attack Kizaru and save Zoro's life failed.,"Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
One Piece,Dai Panic! Auction Kaijou no Shitou,9.5,2009,1122,"After Luffy punches Charlos, the guards begin to attack the Straw Hats, and most of the observers, except for Charlos' family, Kid and Law's crews, evacuate.","Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
One Piece,Tekken Sakuretsu! Auction o Buttsubuse,9.5,2009,1327,"The auction continues, but Saint Charlos arrives and ruins the Straw Hats' plan to buy Camie back by placing an exorbitant bid on her.","Animation, Action, Adventure",tt0388629,Animation,Action,Adventure
Formula 1: Drive to Survive,Man On Fire,9.5,2021,1228,Two turbulent Grand Prix in Bahrain/Sakhir for Racing Point and Sergio Perez in particular. He is still without a seat for the next season and shows why Formula 1 cannot afford to lose him....                See full summary »,"Documentary, Sport",tt8289930,Documentary,Sport,
